0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
496.523,120.649,0.931581,505.535,140.081,0.917137,487.321,137.569,0.855514,476.875,159.749,0.878864,470.375,181.951,0.893494,518.646,140.108,0.890882,527.789,160.992,0.89441,535.577,181.882,0.867513,496.533,185.859,0.828367,486.101,184.578,0.834425,486.055,227.624,0.8557,495.097,268.075,0.866992,506.972,187.149,0.82431,509.51,231.522,0.831925,508.192,268.04,0.827885,496.435,119.26,0.953502,504.248,119.324,0.930934,0.0,0.0,0.0,510.834,120.653,0.863329,508.208,277.16,0.71491,514.764,275.893,0.723972,506.874,271.999,0.627137,495.186,277.231,0.868053,488.617,277.184,0.814118,496.412,273.28,0.737735
496.503,120.643,0.941526,504.309,140.103,0.915157,487.31,138.832,0.870269,476.877,160.973,0.883842,469.067,181.948,0.887616,517.411,140.135,0.897954,527.759,161.024,0.894091,535.57,181.875,0.861827,497.748,187.139,0.820655,486.095,185.841,0.822153,486.044,226.343,0.85706,495.106,266.805,0.867091,508.2,188.439,0.813933,508.263,231.487,0.820003,506.921,266.778,0.859076,495.205,119.261,0.960391,502.987,119.303,0.917428,0.0,0.0,0.0,509.545,120.614,0.875327,508.2,277.146,0.749173,514.752,275.855,0.749582,505.598,270.66,0.621181,495.181,277.223,0.876888,488.612,277.169,0.82111,495.217,271.953,0.712627
496.44,120.626,0.966148,505.528,138.875,0.903764,487.366,138.811,0.844444,476.924,159.744,0.856116,469.064,181.893,0.863819,517.405,140.095,0.884637,527.748,161.081,0.849029,534.305,181.905,0.825023,497.755,187.144,0.811283,487.321,185.848,0.809841,486.05,228.887,0.833531,493.871,268.052,0.856296,508.193,188.435,0.807632,508.223,231.521,0.833863,506.926,266.805,0.858166,495.159,119.253,0.936435,500.372,119.278,0.912522,0.0,0.0,0.0,508.263,120.547,0.909648,508.258,277.158,0.73889,515.998,275.858,0.767271,505.592,271.966,0.627729,495.195,277.243,0.85896,488.624,277.199,0.814462,495.179,271.999,0.732808
496.43,120.553,0.981796,505.536,138.856,0.906283,487.37,137.561,0.838636,476.933,159.732,0.857541,469.04,181.875,0.865947,517.407,138.846,0.873499,526.532,161.058,0.830265,530.433,181.911,0.808425,497.803,187.142,0.803498,487.339,185.849,0.801254,486.061,227.63,0.832941,495.1,266.796,0.868877,508.261,188.44,0.791652,508.222,230.198,0.819664,506.89,266.772,0.881969,495.141,119.19,0.922398,499.107,119.209,0.897446,0.0,0.0,0.0,508.254,119.321,0.912955,508.232,277.142,0.797761,515.982,275.84,0.813118,505.567,270.681,0.635278,495.19,277.215,0.881837,488.627,277.164,0.817597,495.203,270.694,0.711248
496.417,120.524,0.972635,505.542,138.804,0.894608,487.345,137.512,0.840324,476.921,159.739,0.872336,467.748,181.908,0.887696,517.423,137.563,0.855369,527.762,161.024,0.877958,530.415,181.888,0.840202,497.805,185.86,0.804847,487.34,185.824,0.803206,486.054,228.893,0.835558,495.089,266.781,0.860439,508.268,187.142,0.787143,508.214,230.204,0.823614,506.871,266.777,0.884109,495.136,117.967,0.892372,499.077,117.983,0.892074,0.0,0.0,0.0,508.239,119.295,0.923685,508.193,277.137,0.815111,514.734,275.857,0.817331,505.554,270.689,0.643878,495.154,277.176,0.872772,487.363,275.923,0.80918,495.191,270.684,0.693193
495.178,119.333,0.975223,505.532,137.546,0.884276,486.103,136.245,0.854143,476.9,159.721,0.875822,466.472,181.895,0.885623,517.422,137.519,0.851428,527.786,160.984,0.875009,530.394,181.909,0.858074,499.067,187.162,0.797378,488.626,185.859,0.784936,486.046,227.615,0.849152,495.119,266.743,0.876802,509.508,188.465,0.787972,508.232,231.533,0.835528,505.658,266.811,0.877583,493.882,117.957,0.868016,497.786,117.958,0.904403,0.0,0.0,0.0,508.197,119.278,0.930736,508.203,277.158,0.807404,514.721,275.875,0.812128,504.304,271.986,0.622542,495.171,277.171,0.879812,488.624,275.914,0.81943,495.186,270.65,0.692414
495.151,120.535,0.975287,504.308,137.544,0.87222,486.063,136.237,0.863821,476.877,159.718,0.875589,466.432,181.891,0.896784,517.399,137.53,0.858772,527.803,159.732,0.864191,529.139,181.87,0.869136,497.822,187.163,0.803178,487.363,187.118,0.790079,486.044,227.634,0.835323,493.877,266.772,0.840812,509.502,188.456,0.789331,509.505,232.792,0.823102,506.864,268.044,0.869127,493.837,117.981,0.869889,497.757,117.985,0.91849,0.0,0.0,0.0,506.962,119.292,0.939803,509.518,277.201,0.755951,515.995,275.899,0.79892,504.302,273.268,0.646564,495.187,277.201,0.838901,488.626,275.944,0.784502,495.146,270.677,0.67275
495.117,120.538,0.97088,504.279,137.548,0.862974,486.043,136.249,0.871721,476.868,160.968,0.89462,465.194,181.925,0.911969,517.376,137.534,0.867224,527.778,159.725,0.864915,529.128,181.87,0.879844,497.824,187.161,0.804673,487.364,187.125,0.789354,486.034,228.905,0.841016,495.095,266.791,0.848941,509.506,188.447,0.795349,509.502,234.058,0.850109,506.89,268.067,0.865213,493.798,117.989,0.862683,496.513,117.986,0.93675,0.0,0.0,0.0,506.914,119.289,0.95826,509.513,277.218,0.763217,516.01,275.917,0.809582,505.543,273.287,0.661651,495.164,277.233,0.845345,487.374,277.167,0.79885,495.178,270.687,0.682301
495.087,120.591,0.952088,504.257,137.539,0.857422,486.02,136.216,0.88098,476.886,160.96,0.89607,465.186,181.896,0.909502,517.357,137.551,0.875544,527.748,159.75,0.86454,529.096,181.875,0.887948,497.816,185.862,0.805533,487.362,185.828,0.795027,486.027,227.607,0.849658,495.097,266.784,0.864952,508.263,187.136,0.794822,509.529,232.829,0.836493,506.928,266.798,0.867938,492.551,119.229,0.865642,496.471,119.24,0.968907,0.0,0.0,0.0,506.874,119.283,0.964252,510.814,277.181,0.791386,516.053,275.869,0.843896,505.572,271.974,0.645949,495.188,277.218,0.855316,488.623,277.16,0.809644,495.179,270.679,0.713084
495.086,120.585,0.953786,503.012,137.517,0.8505,486.019,136.233,0.878072,476.936,160.963,0.886093,465.19,181.888,0.910741,517.333,136.261,0.874884,527.766,159.716,0.865863,529.091,181.865,0.890129,499.061,187.147,0.802118,488.617,185.867,0.782597,486.022,227.599,0.850019,495.109,266.785,0.863612,509.503,188.425,0.791662,509.525,232.833,0.836378,506.915,266.802,0.85783,491.257,119.222,0.884944,496.467,119.223,0.963019,0.0,0.0,0.0,506.852,119.253,0.950911,508.23,277.191,0.793866,515.987,275.905,0.812185,505.583,271.961,0.633327,495.159,277.226,0.864423,487.36,277.167,0.814944,495.211,270.677,0.699407
