Time,ankle-x,ankle-y,ankle-z,thigh-x,thigh-y,thigh-z,trunk-x,trunk-y,trunk-z,annontations
440000,-101,1019,198,81,981,80,-106,1019,-116,1
440015,-111,1009,207,72,981,50,-97,1000,-87,1
440031,-90,1009,217,81,981,80,-97,1000,-87,1
440046,-101,1019,217,72,990,70,-97,1009,-87,1
440062,-90,1009,227,90,981,70,-116,1019,-97,1
440078,-101,1029,237,72,990,50,-106,1019,-77,1
440093,-121,1019,237,72,990,50,-106,1019,-77,1
440109,-121,1019,227,72,981,80,-106,1038,-87,1
440125,-111,1009,227,54,990,70,-116,1009,-67,1
440140,-111,1009,217,72,990,80,-116,1009,-97,1
440156,-121,1009,198,81,990,60,-116,1000,-97,1
440171,-111,1009,227,63,972,60,-106,1009,-77,1
440187,-90,1019,237,81,962,70,-116,1009,-97,1
440203,-101,990,247,72,990,70,-116,1009,-87,1
440218,-111,1019,237,81,981,80,-116,1019,-97,1
440234,-111,1019,198,63,981,60,-116,1000,-87,1
440250,-111,1009,227,45,990,60,-116,1009,-97,1
440265,-101,1019,227,72,981,80,-116,1009,-97,1
440281,-90,1019,217,63,981,70,-106,990,-87,1
440296,-121,1009,227,63,981,70,-106,1000,-87,1
440312,-131,1000,217,63,990,70,-106,1000,-87,1
440328,-101,1009,217,63,981,80,-106,1000,-116,1
440343,-90,1000,227,63,990,70,-116,1000,-106,1
440359,-101,1009,237,90,981,60,-126,1009,-77,1
440375,-121,1019,207,81,990,60,-126,1019,-97,1
440390,-111,1000,227,72,981,70,-116,1000,-87,1
440406,-101,1000,217,81,962,70,-116,1000,-97,1
440421,-111,1019,247,72,990,70,-116,1000,-87,1
440437,-101,1019,227,81,972,60,-116,1009,-77,1
440453,-111,1019,217,90,972,80,-106,1009,-87,1
440468,-111,1009,207,72,990,90,-106,1019,-116,1
440484,-111,1019,217,90,990,80,-106,1009,-126,1
440500,-101,1000,217,72,1000,70,-116,1000,-87,1
440515,-111,1000,227,63,981,80,-97,990,-106,1
440531,-111,1000,227,72,990,60,-116,1009,-106,1
440546,-101,1009,227,54,972,101,-126,1009,-106,1
440562,-101,1009,227,90,972,80,-116,1009,-106,1
440578,-111,1019,227,72,981,80,-116,1019,-116,1
440593,-111,1019,227,63,990,60,-126,1009,-106,1
440609,-90,1019,217,81,972,60,-135,1019,-106,1
440625,-90,1009,217,100,981,60,-116,1000,-97,1
440640,-90,1000,227,90,990,80,-135,990,-97,1
440656,-121,1039,207,90,1000,80,-126,1009,-97,1
440671,-90,1009,227,90,981,70,-126,1009,-97,1
440687,-90,1019,227,90,972,60,-116,1000,-97,1
440703,-90,1009,227,90,972,60,-106,980,-97,1
440718,-90,1000,237,90,981,50,-116,990,-97,1
440734,-90,1000,217,90,981,80,-116,1000,-97,1
440750,-111,1009,227,90,981,90,-116,1009,-97,1
440765,-111,1009,227,81,981,80,-106,1009,-97,1
440781,-101,1009,227,100,972,70,-126,1000,-87,1
440796,-90,1019,217,90,981,70,-106,1000,-97,1
440812,-80,1000,227,90,981,70,-116,1009,-106,1
440828,-80,1019,207,109,972,90,-97,1019,-97,1
440843,-101,1000,227,81,981,80,-126,1000,-87,1
440859,-90,1009,237,81,981,70,-106,990,-97,1
440875,-101,1009,198,72,981,90,-106,1000,-116,1
440890,-101,1009,207,54,972,70,-116,1009,-97,1
440906,-90,1009,217,72,1000,70,-106,1019,-97,1
440921,-90,1009,217,109,1018,70,-97,1000,-97,1
440937,-90,1009,207,72,981,70,-126,1009,-87,1
440953,-121,1019,227,63,990,70,-106,1009,-97,1
440968,-101,1009,217,54,962,101,-116,1009,-106,1
440984,-101,1009,217,72,990,50,-116,1028,-116,1
441000,-111,1009,227,90,972,70,-116,1019,-116,1
441015,-111,1000,237,63,990,70,-106,1009,-106,1
441031,-101,1019,217,81,972,60,-116,1009,-97,1
441046,-101,1019,217,72,972,50,-116,1009,-126,1
441062,-90,1009,217,63,981,70,-106,1009,-97,1
441078,-111,1009,227,63,981,70,-116,1009,-106,1
441093,-111,1019,217,72,990,50,-116,1009,-97,1
441109,-90,1029,207,72,990,60,-97,1009,-97,1
441125,-121,1019,227,63,990,60,-116,1009,-106,1
441140,-90,1019,198,63,990,60,-97,990,-116,1
441156,-90,1019,227,72,990,60,-116,1009,-97,1
441171,-111,1019,217,90,972,70,-106,1000,-106,1
441187,-101,1019,227,90,990,60,-106,1009,-97,1
441203,-111,1029,227,54,981,60,-106,1019,-87,1
441218,-101,1009,217,72,981,60,-87,1000,-106,1
