Time,ankle-x,ankle-y,ankle-z,thigh-x,thigh-y,thigh-z,trunk-x,trunk-y,trunk-z,annontations
340000,-131,1029,108,127,990,-10,19,1057,-116,1
340015,-111,1019,128,154,981,10,-9,1047,-116,1
340031,-151,1029,118,136,962,-20,0,1028,-135,1
340046,-111,1029,128,190,962,-20,-9,990,-135,1
340062,-111,1029,128,190,962,-20,-19,952,-135,1
340078,-111,1019,118,181,953,-30,-19,961,-135,1
340093,-111,1019,138,190,953,-30,-9,971,-145,1
340109,-101,1029,138,172,953,-40,-9,971,-116,1
340125,-101,1029,138,190,953,-20,9,961,-116,1
340140,-121,1029,118,190,962,-10,0,980,-126,1
340156,-111,1029,108,190,962,-20,0,980,-116,1
340171,-111,1019,128,172,962,-20,0,980,-116,1
340187,-111,1019,128,163,981,-20,0,990,-126,1
340203,-101,1029,118,172,972,-30,-9,1028,-135,1
340218,-121,1039,128,163,981,-20,0,1028,-135,1
340234,-111,1009,108,145,981,-20,0,1019,-135,1
340250,-111,1009,108,136,981,-20,9,1019,-126,1
340265,-121,1029,108,127,1000,-20,9,1028,-135,1
340281,-121,1029,118,109,972,-20,19,1038,-155,1
340296,-121,1019,128,127,990,-20,0,1028,-126,1
340312,-131,1009,118,109,990,-40,19,1009,-135,1
340328,-131,1009,118,127,972,-20,-9,1009,-135,1
340343,-131,1039,108,136,972,-30,0,1009,-135,1
340359,-131,1029,118,136,962,-20,0,1000,-116,1
340375,-141,1019,108,163,972,-10,0,1009,-155,1
340390,-141,1019,108,154,972,-30,0,1000,-145,1
340406,-141,1039,118,136,972,-30,-19,1019,-126,1
340421,-141,1039,118,136,972,-30,-9,1009,-155,1
340437,-141,1039,108,145,962,-10,-9,990,-135,1
340453,-141,1019,108,145,972,-20,-19,1009,-155,1
340468,-141,1029,99,145,972,-20,-9,1000,-145,1
340484,-141,1029,118,145,962,-20,0,1000,-135,1
340500,-131,1019,128,163,953,-10,-9,1000,-106,1
340515,-131,1009,108,154,972,0,-9,1009,-135,1
340531,-131,1029,108,154,972,-30,-9,980,-106,1
340546,-121,1009,108,163,981,-30,-9,1009,-116,1
340562,-131,1019,128,163,990,-10,0,1019,-145,1
340578,-131,1019,118,145,981,-30,0,1009,-126,1
340593,-111,1019,108,145,962,-10,19,980,-126,1
340609,-131,1029,118,136,981,-10,19,980,-126,1
340625,-131,1029,118,163,972,-20,0,1009,-145,1
340640,-121,1019,138,163,981,-10,0,1000,-135,1
340656,-151,1019,108,136,981,0,0,1000,-135,1
340671,-151,1029,118,145,981,20,-9,1009,-135,1
340687,-141,1029,128,154,972,-10,0,1000,-126,1
340703,-141,1029,99,145,962,-30,0,1009,-135,1
340718,-141,1029,128,136,981,-20,-9,1009,-126,1
340734,-151,1009,128,136,972,-10,9,1000,-126,1
340750,-131,1019,138,163,972,0,0,1009,-145,1
340765,-131,1029,128,118,981,10,19,1019,-135,1
340781,-141,1019,118,118,981,10,19,1019,-135,1
340796,-121,1029,108,109,990,0,-9,1028,-135,1
340812,-121,1000,148,136,1000,-50,0,1028,-145,1
340828,-161,1000,118,154,962,-30,-9,1000,-145,1
340843,-141,1009,89,145,972,-50,-29,1009,-126,1
340859,-151,1029,118,127,962,-30,-19,1009,-165,1
340875,-151,1049,99,145,972,-30,0,1000,-135,1
340890,-151,1039,108,163,962,-40,-9,1000,-116,1
340906,-141,1029,99,163,962,-30,-9,1000,-135,1
340921,-131,1019,148,190,972,-10,0,971,-145,1
340937,-141,1019,108,172,981,0,-9,990,-135,1
340953,-121,1068,108,172,962,-30,-9,1000,-126,1
340968,-111,1019,118,172,962,-20,9,980,-106,1
340984,-141,1019,108,163,962,-20,0,971,-97,1
341000,-121,1029,138,181,972,0,0,1000,-135,1
341015,-141,1019,108,181,962,-20,9,980,-116,1
341031,-121,1039,118,190,962,-20,9,980,-97,1
341046,-121,1019,108,190,962,10,0,980,-106,1
341062,-131,1029,118,163,962,-10,19,980,-97,1
341078,-121,1019,118,172,972,-20,0,1009,-116,1
341093,-141,1029,118,154,972,-20,-9,1028,-116,1
341109,-121,1029,118,172,981,-30,-9,1019,-116,1
341125,-131,1039,118,190,981,-20,-19,1009,-87,1
341140,-131,1049,138,190,1000,-60,0,1000,-106,1
341156,-141,1039,118,209,990,-60,-9,980,-97,1
341171,-141,1068,128,272,972,-60,-9,980,-67,1
341187,-101,1068,138,327,962,-70,-38,980,-87,1
341203,-111,1088,138,363,972,-30,-29,980,-126,1
341218,-101,1107,148,400,1009,-40,-87,980,-97,1
341234,-80,1147,178,518,1074,-50,-97,1019,-126,1
341250,-50,1215,198,563,1092,-70,-106,1019,-106,1
341265,-30,1343,178,527,1101,-80,-97,1019,-77,1
341281,10,1303,217,436,1064,-80,-48,1009,-58,1
341296,-40,1264,267,254,1046,-60,0,990,-48,1
341312,-80,1176,326,127,981,-30,48,1000,-19,1
341328,-151,1098,346,45,972,10,87,1038,-19,1
341343,-202,1000,306,-9,953,30,116,1038,-9,1
341359,-212,921,297,-72,953,60,116,1085,19,1
341375,-80,833,267,-36,916,60,116,1085,-19,1
341390,292,715,217,72,888,90,87,1066,-29,1
341406,505,666,178,172,916,101,48,1066,-29,1
